Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time))
et/Main_Sentinel_padding_ralert,1,7,Random Forest R,0.789967487227125,0.671854715704686,0.734534302673283,0.671854715704686,0.692446319355003,0.759357006121087,1.95313310623169,0.076305150985718,2.029438257217407
et/Main_Sentinel_padding_ralert,1,8,Random Forest R,0.777055271713888,0.656655137663317,0.690111560805544,0.656655137663317,0.667747133190787,0.743471666174464,1.962732076644898,0.078666925430298,2.041399002075195
et/Main_Sentinel_padding_ralert,1,9,Random Forest R,0.782814677194612,0.6632985296012,0.711187146850538,0.6632985296012,0.680361019493316,0.749948774836356,1.967026948928833,0.077144145965576,2.044171094894409
et/Main_Sentinel_padding_ralert,1,10,Random Forest R,0.786994890849977,0.66097760566869,0.722888801278382,0.66097760566869,0.678490910912061,0.754401132908164,1.98576807975769,0.078629970550537,2.064398050308228
et/Main_Sentinel_padding_ralert,2,1,Random Forest R,0.789708341073751,0.659674307577511,0.713598309318934,0.659674307577511,0.676036002059388,0.757752350478301,1.974319934844971,0.076684951782227,2.051004886627197
et/Main_Sentinel_padding_ralert,2,2,Random Forest R,0.783113505480216,0.650572513490883,0.709375387122368,0.650572513490883,0.670101155864827,0.749913377599521,1.957953929901123,0.077219724655151,2.035173654556274
et/Main_Sentinel_padding_ralert,2,3,Random Forest R,0.784765443567116,0.657299860770212,0.695941612279482,0.657299860770212,0.672163118908978,0.753124619677876,2.012814998626709,0.078869104385376,2.091684103012085
et/Main_Sentinel_padding_ralert,2,4,Random Forest R,0.77835578262889,0.64906739102469,0.685887839286498,0.64906739102469,0.662365208304496,0.744659118901288,1.969620943069458,0.077600002288818,2.047220945358276
et/Main_Sentinel_padding_ralert,2,5,Random Forest R,0.785880167208546,0.660199929768571,0.690877643876308,0.660199929768571,0.671539204750726,0.752608994759114,1.997561693191528,0.078601837158203,2.076163530349732
et/Main_Sentinel_padding_ralert,2,6,Random Forest R,0.786623316302833,0.677112342829892,0.709936949809392,0.677112342829892,0.689498745675268,0.755064941525372,1.977229118347168,0.078327894210815,2.055557012557984
et/Main_Sentinel_padding_ralert,2,7,Random Forest R,0.777426846261031,0.664311324701895,0.727469028255843,0.664311324701895,0.682372133813151,0.743783832957677,1.970561742782593,0.076848983764648,2.047410726547241
et/Main_Sentinel_padding_ralert,2,8,Random Forest R,0.784022294472829,0.665163598700482,0.72044045489489,0.665163598700482,0.683343370195668,0.751083042184941,1.950400114059448,0.076592922210693,2.026993036270142
et/Main_Sentinel_padding_ralert,2,9,Random Forest R,0.793961913608918,0.672281223993694,0.695199895484542,0.672281223993694,0.679920463119897,0.761941108446655,1.989298820495606,0.077119827270508,2.066418647766113
et/Main_Sentinel_padding_ralert,2,10,Random Forest R,0.788109614491407,0.657251025932117,0.696938154134388,0.657251025932117,0.672273541363878,0.755766954176434,2.015166997909546,0.079102993011475,2.09426999092102
et/Main_Sentinel_padding_ralert,3,1,Random Forest R,0.785992940739365,0.659315605881197,0.694925626197726,0.659315605881197,0.670795130929025,0.753902580306652,1.940858125686646,0.077172994613647,2.018031120300293
et/Main_Sentinel_padding_ralert,3,2,Random Forest R,0.780977150287944,0.654987865060496,0.699679792050695,0.654987865060496,0.670534841424149,0.747355841284804,1.969939231872558,0.078086853027344,2.048026084899902
et/Main_Sentinel_padding_ralert,3,3,Random Forest R,0.779749187180678,0.650031715690265,0.700506821234446,0.650031715690265,0.667638013748294,0.746934116927121,2.014841794967651,0.079354047775269,2.09419584274292
et/Main_Sentinel_padding_ralert,3,4,Random Forest R,0.784579656293544,0.666440427282895,0.694617921706784,0.666440427282895,0.675751311571097,0.751031543662802,1.960978031158447,0.078225135803223,2.03920316696167
et/Main_Sentinel_padding_ralert,3,5,Random Forest R,0.789317231769624,0.660966682180776,0.709390213697491,0.660966682180776,0.676765642739269,0.756865121527108,1.976264953613281,0.078329801559448,2.05459475517273
et/Main_Sentinel_padding_ralert,3,6,Random Forest R,0.783836507199257,0.658441749952086,0.704040117843761,0.658441749952086,0.673392482033252,0.751316762151173,2.016506910324097,0.077847957611084,2.094354867935181
et/Main_Sentinel_padding_ralert,3,7,Random Forest R,0.786809103576405,0.661880871606276,0.697528436472316,0.661880871606276,0.675190419771067,0.754658795916144,1.965275049209595,0.078299999237061,2.043575048446655
et/Main_Sentinel_padding_ralert,3,8,Random Forest R,0.783000464468184,0.648832950666617,0.67802922758402,0.648832950666617,0.659313010197955,0.750208337358366,1.989335060119629,0.078901052474976,2.068236112594604
